game_id,date,season,game_type,team,opponent,team_win,wembanyama_points,wembanyama_player_ts_pct,wembanyama_player_efg_pct,wembanyama_fta,wembanyama_rebounds,wembanyama_blocks,wembanyama_assists,wembanyama_turnovers,wembanyama_pf,wembanyama_plus_minus,team_bench_points,team_bench_rebounds,team_bench_assists,team_bench_plus_minus,opponent_bench_points,opponent_bench_rebounds,opponent_bench_assists,opponent_bench_plus_minus,bench_margin,opp_fg3a,opp_fg3_pct
22400734,2025-02-07,2024-25,regular_season,SAS,CHA,0,16.0,0.3913894324853229,0.375,1.0,11.0,5.0,3.0,1.0,2.0,-1.0,24,16,6,-18,36,16,5,-11,-12,38,0.447
22400743,2025-02-08,2024-25,regular_season,SAS,ORL,0,18.0,0.6198347107438017,0.5,8.0,9.0,4.0,4.0,4.0,1.0,-14.0,23,9,8,24,37,13,6,-16,-14,30,0.333
22400757,2025-02-10,2024-25,regular_season,SAS,WAS,1,31.0,0.6810193321616871,0.6904761904761905,4.0,15.0,3.0,4.0,1.0,2.0,6.0,43,11,8,-13,57,18,10,47,-14,47,0.298
22400769,2025-02-12,2024-25,regular_season,SAS,BOS,0,17.0,0.5035545023696683,0.46875,2.0,13.0,2.0,4.0,2.0,4.0,-6.0,36,11,7,-45,20,12,2,22,16,55,0.327
22400795,2025-02-20,2024-25,regular_season,SAS,PHX,1,,,,,,,,,,,48,19,8,4,13,15,6,-20,35,44,0.364
22400802,2025-02-21,2024-25,regular_season,SAS,DET,0,,,,,,,,,,,31,12,12,-22,40,22,6,-51,-9,35,0.343
22400818,2025-02-23,2024-25,regular_season,SAS,NOP,0,,,,,,,,,,,46,21,13,6,39,26,2,2,7,33,0.333
22400833,2025-02-25,2024-25,regular_season,SAS,NOP,0,,,,,,,,,,,30,28,5,-33,36,23,7,28,-6,31,0.226
22400844,2025-02-26,2024-25,regular_season,SAS,HOU,0,,,,,,,,,,,42,20,11,5,37,24,9,-19,5,38,0.289
22400863,2025-03-01,2024-25,regular_season,SAS,MEM,1,,,,,,,,,,,33,13,12,8,24,14,8,-30,9,38,0.289
22400871,2025-03-02,2024-25,regular_season,SAS,OKC,0,,,,,,,,,,,45,16,16,13,28,18,7,-5,17,44,0.432
22400888,2025-03-04,2024-25,regular_season,SAS,BKN,1,,,,,,,,,,,32,20,11,1,42,18,6,-55,-10,50,0.34
22400910,2025-03-07,2024-25,regular_season,SAS,SAC,0,,,,,,,,,,,37,22,7,-14,25,14,10,-6,12,38,0.447
22400925,2025-03-09,2024-25,regular_season,SAS,MIN,0,,,,,,,,,,,49,18,8,-5,49,19,11,47,0,42,0.5
22400937,2025-03-10,2024-25,regular_season,SAS,DAL,0,,,,,,,,,,,20,12,12,-14,22,11,5,20,-2,38,0.316
22400951,2025-03-12,2024-25,regular_season,SAS,DAL,1,,,,,,,,,,,47,21,4,-4,41,14,10,-11,6,32,0.406
22400964,2025-03-14,2024-25,regular_season,SAS,CHA,0,,,,,,,,,,,54,20,16,-9,50,12,12,-9,4,46,0.565
22400973,2025-03-15,2024-25,regular_season,SAS,NOP,1,,,,,,,,,,,28,17,12,17,29,27,4,-41,-1,35,0.343
22400537,2025-03-17,2024-25,regular_season,SAS,LAL,0,,,,,,,,,,,37,17,17,-35,39,9,7,4,-2,48,0.396
22401003,2025-03-19,2024-25,regular_season,SAS,NYK,1,,,,,,,,,,,60,23,9,54,32,15,6,-2,28,37,0.297
22401018,2025-03-21,2024-25,regular_season,SAS,PHI,1,,,,,,,,,,,36,11,7,-11,35,10,6,-19,1,37,0.378
22401033,2025-03-23,2024-25,regular_season,SAS,TOR,1,,,,,,,,,,,60,24,9,63,24,14,6,-95,36,39,0.256
22401046,2025-03-25,2024-25,regular_season,SAS,DET,0,,,,,,,,,,,37,19,10,-84,41,21,18,72,-4,31,0.484
22401059,2025-03-27,2024-25,regular_season,SAS,CLE,0,,,,,,,,,,,40,20,8,-31,28,18,4,25,12,48,0.354
22401080,2025-03-29,2024-25,regular_season,SAS,BOS,0,,,,,,,,,,,22,9,3,-26,29,12,4,-4,-7,51,0.333
22401086,2025-03-30,2024-25,regular_season,SAS,GSW,0,,,,,,,,,,,58,12,16,-111,56,24,16,87,2,44,0.477
22400988,2025-04-01,2024-25,regular_season,SAS,ORL,0,,,,,,,,,,,25,16,9,-3,29,22,8,13,-4,47,0.383
22401110,2025-04-02,2024-25,regular_season,SAS,DEN,1,,,,,,,,,,,47,13,5,30,23,10,5,-15,24,44,0.295
22401124,2025-04-04,2024-25,regular_season,SAS,CLE,0,,,,,,,,,,,20,21,4,-35,23,14,6,31,-3,51,0.431
22401139,2025-04-06,2024-25,regular_season,SAS,POR,0,,,,,,,,,,,24,17,7,-52,28,9,6,32,-4,41,0.366
22401155,2025-04-08,2024-25,regular_season,SAS,LAC,0,,,,,,,,,,,50,23,15,38,27,13,3,-15,23,30,0.467
22401163,2025-04-09,2024-25,regular_season,SAS,GSW,1,,,,,,,,,,,26,19,6,-4,26,13,5,-8,0,48,0.333
22401182,2025-04-11,2024-25,regular_season,SAS,PHX,0,,,,,,,,,,,33,18,7,-33,31,23,7,-15,2,47,0.404
